Src,Eqid,Version,Lat,Lon,Magnitude,Depth,NST,Region
ak,10632501,3,51.2401,-177.916,2.7,25.6,14,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10632481,2,61.4805,-150.3384,1.6,41.9,15,Southern Alaska
ci,15270985,2,34.6282,-117.111,1.7,0,19,Southern California
ak,10636081,2,60.6345,-152.1613,1.8,67.1,9,Southern Alaska
ak,10636080,2,50.6097,-173.4517,2.3,71.1,5,"Andreanof Islands, Aleutian Islands, Alaska"
mb,13317861,2,45.631,-112.0015,1.1,10.6,12,western Montana
nm,010713c,B,36.2238,-89.4358,2.6,6.3,27,Tennessee
ak,10632455,2,60.1199,-153.3934,2.9,160.5,39,Southern Alaska
pr,13007003,0,19.2122,-65.2198,3.6,5,19,Puerto Rico region
nn,398978,9,39.999,-118.7318,1.1,0,5,Nevada
uu,60009757,2,44.4405,-110.3457,1.2,5.8,8,"Yellowstone National Park, Wyoming"
uw,60489932,3,46.399,-119.2628,1.3,2.2,15,Washington
mb,13923248,2,45.6145,-111.751,1.5,6.5,19,western Montana
nn,399044,9,38.6627,-119.5169,1.4,11.2,4,Central California
ak,10632395,2,63.4369,-147.5074,1,11.5,9,Central Alaska
ak,10636077,2,63.1784,-150.857,1.4,127.1,8,Central Alaska
ak,10636076,2,61.9118,-149.662,1.3,43.7,7,Southern Alaska
ci,15270961,2,34.083,-117.27,1.1,14.8,45,"Greater Los Angeles area, California"
nc,71916566,2,36.5902,-121.2003,1.4,8,26,Central California
ak,10632381,3,52.8049,-173.7293,2.9,176.6,21,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10632370,2,59.7973,-153.1783,2.7,115.9,33,Southern Alaska
uu,60009747,5,36.8383,-111.8563,3.1,6.4,18,Arizona
nc,71916561,2,36.7767,-121.2872,1.6,7.8,32,Central California
ak,10632364,2,58.8085,-153.5555,2.3,1,11,"Kodiak Island region, Alaska"
ak,10636072,2,63.1475,-151.5193,1.1,19,7,Central Alaska
ak,10636071,2,55.3824,-134.8073,4,20,6,Southeastern Alaska
ak,10632357,2,63.1309,-149.6533,1.5,97.2,14,Central Alaska
ci,15270953,2,34.199,-117.5012,1.4,7.2,48,"Greater Los Angeles area, California"
ak,10636069,2,60.2809,-147.0429,1.7,8.1,8,Southern Alaska
ci,15270945,2,34.0343,-116.313,1.1,8.7,36,Southern California
ak,10632352,2,61.3461,-147.5615,1.4,14.9,11,Southern Alaska
pr,13007002,0,18.6681,-66.5124,2.6,30,6,Puerto Rico region
ci,15270937,2,33.2835,-116.7805,1,11.6,44,Southern California
nc,71916531,2,36.3007,-120.8223,1.4,8.7,14,Central California
nc,71916526,1,38.807,-122.8183,1.2,3.4,27,Northern California
us,c000ekk1,A,37.8174,142.3564,4.9,48.3,258,"off the east coast of Honshu, Japan"
ak,10636067,2,51.6244,-177.6417,1.6,63.4,7,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71916521,0,38.7532,-122.729,1.1,4.5,16,Northern California
ak,10636066,2,61.3221,-147.5725,1.3,20,7,Southern Alaska
ak,10636065,2,59.9514,-152.9987,2.2,109.8,9,Southern Alaska
nc,71916506,1,38.8098,-122.817,1.5,3.2,34,Northern California
ak,10636064,2,51.5225,-178.3786,1.9,37.1,7,"Andreanof Islands, Aleutian Islands, Alaska"
uu,60009732,4,38.2832,-108.9187,2.2,0.6,12,Colorado
ak,10636063,2,55.6986,-134.8437,2.3,20,6,Southeastern Alaska
ak,10636062,2,62.6475,-149.7534,1,60.7,7,Central Alaska
ak,10636061,2,61.4707,-150.2121,1.2,45.2,7,Southern Alaska
mb,13140716,2,45.614,-111.7525,1.1,6.4,12,western Montana
nc,71916466,0,38.7652,-122.7412,1.7,0.4,16,Northern California
ci,15270929,2,33.1543,-115.64,1.4,1.1,25,Southern California
ak,10632332,3,60.5041,-152.568,2,90.1,19,Southern Alaska
ak,10636059,2,55.6512,-134.8919,2.4,20,5,Southeastern Alaska
pr,13007001,0,19.4654,-68.393,3.4,9,11,Dominican Republic region
ak,10636058,2,55.4161,-135.75,2.9,20,6,off the coast of Southeastern Alaska
ak,10636057,2,55.4218,-135.757,2.6,20,5,off the coast of Southeastern Alaska
ak,10632329,2,53.8166,-164.6523,2.6,58,19,"Unimak Island region, Alaska"
nn,398866,9,38.7568,-118.7815,1,12.4,10,Nevada
hv,60447746,3,19.3678,-155.2217,1.1,3.3,8,"Island of Hawaii, Hawaii"
ak,10636055,2,59.7857,-152.5682,2.2,62.9,8,Southern Alaska
nc,71916456,1,38.8073,-122.7962,1.6,3.8,35,Northern California
ci,15270913,2,34.0035,-117.1792,1.2,5.3,66,"Greater Los Angeles area, California"
